"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.214218432E1,6.505720534E1,2.560276420E1,3.112370704E1,4.861225012E1,3.913645744E0,5.652035904E1,6.039380753E-1,4.000000000E0,3.078631878E0,3.900000000E1
9.314146970E1,6.505722424E1,2.560284005E1,3.107946856E1,4.856802291E1,3.900005102E0,6.212612534E1,6.081369536E-1,4.000000000E0,3.066906452E0,4.000000000E1
9.413618070E1,6.505723896E1,2.560292251E1,3.087535075E1,4.836391576E1,3.880230427E0,5.900967789E1,6.119735918E-1,4.000000000E0,3.086514235E0,3.900000000E1
9.514738405E1,6.505725307E1,2.560299718E1,3.059323975E1,4.808181463E1,3.830410242E0,6.427849579E1,6.158698952E-1,4.000000000E0,3.115802526E0,3.800000000E1
9.614353551E1,6.505726919E1,2.560307095E1,3.050216785E1,4.799075307E1,3.793015718E0,6.214921570E1,6.198893048E-1,4.000000000E0,3.029923439E0,4.000000000E1
9.714236851E1,6.505728229E1,2.560315084E1,3.049484399E1,4.798343922E1,3.767577171E0,6.277471924E1,6.238237189E-1,4.000000000E0,3.000000000E0,4.000000000E1
9.815148262E1,6.505729814E1,2.560322585E1,3.048424193E1,4.797284753E1,3.739391804E0,5.642344284E1,6.279572916E-1,4.000000000E0,3.000000000E0,3.900000000E1
9.915926301E1,6.505732022E1,2.560329676E1,3.066713586E1,4.815575318E1,3.738330126E0,5.741605377E1,6.317165882E-1,4.000000000E0,3.000000000E0,4.000000000E1
1.001624097E2,6.505734380E1,2.560335422E1,3.075509846E1,4.824372683E1,3.738095760E0,4.607980728E1,6.351116055E-1,4.000000000E0,3.000000000E0,3.900000000E1
1.011590997E2,6.505736671E1,2.560340209E1,3.084351880E1,4.833215727E1,3.706588030E0,3.907189178E1,6.379069017E-1,4.000000000E0,3.000000000E0,4.100000000E1
1.021643429E2,6.505738783E1,2.560343442E1,3.082399003E1,4.831263684E1,3.667932749E0,3.114929008E1,6.411637867E-1,4.000000000E0,3.000000000E0,4.100000000E1
1.031505038E2,6.505741633E1,2.560345039E1,3.092770658E1,4.841636243E1,3.634850740E0,2.257141685E1,6.444757069E-1,4.000000000E0,3.000000000E0,3.700000000E1
1.041465896E2,6.505744490E1,2.560347035E1,3.096039448E1,4.844905972E1,3.605945110E0,1.492355537E1,6.473032932E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.051524691E2,6.505747027E1,2.560347472E1,3.090717306E1,4.839584554E1,3.564161062E0,8.547967911E0,6.505856254E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.061480854E2,6.505749978E1,2.560347506E1,3.083821014E1,4.832689068E1,3.522103071E0,6.029360771E0,6.537538452E-1,4.000000000E0,3.000000000E0,3.900000000E1
1.071447825E2,6.505752825E1,2.560347780E1,3.093534970E1,4.842403821E1,3.483501196E0,4.950183392E0,6.570419096E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.081570232E2,6.505755778E1,2.560348162E1,3.090564715E1,4.839434400E1,3.448674202E0,2.956014633E0,6.603479845E-1,3.000000000E0,3.000000000E0,3.800000000E1
1.091449146E2,6.505758751E1,2.560348192E1,3.083782822E1,4.832653318E1,3.425082922E0,2.829828501E0,6.640493394E-1,3.000000000E0,3.000000000E0,4.000000000E1
1.101485062E2,6.505762075E1,2.560347760E1,3.078683413E1,4.827554779E1,3.422840118E0,1.387187600E0,6.673098815E-1,3.000000000E0,3.000000000E0,3.800000000E1
1.111460609E2,6.505764923E1,2.560346109E1,3.069602628E1,4.818474636E1,3.409973383E0,3.491804810E2,6.708343617E-1,3.000000000E0,3.000000000E0,3.800000000E1
1.121438653E2,6.505768093E1,2.560346227E1,3.073809315E1,4.822682195E1,3.405450106E0,3.490498962E2,6.745113965E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.131423080E2,6.505771382E1,2.560345428E1,3.090508635E1,4.839382345E1,3.411013365E0,3.527585144E2,6.781711527E-1,3.000000000E0,3.000000000E0,4.000000000E1
1.141480610E2,6.505774661E1,2.560344747E1,3.076606243E1,4.825480791E1,3.415888548E0,3.575032959E2,6.820945057E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.151525633E2,6.505778178E1,2.560344073E1,3.088019930E1,4.836895380E1,3.439288378E0,3.559088745E2,6.856616930E-1,3.000000000E0,3.000000000E0,4.100000000E1
1.161523567E2,6.505781325E1,2.560342600E1,3.037516038E1,4.786392227E1,3.449375629E0,3.546953430E2,6.891988413E-1,2.000000000E0,3.000000000E0,3.900000000E1
1.171606990E2,6.505784481E1,2.560341649E1,3.030831639E1,4.779708610E1,3.443321943E0,3.561859131E2,6.926437295E-1,3.000000000E0,3.000000000E0,4.100000000E1
1.181424689E2,6.505787548E1,2.560340612E1,3.047753548E1,4.796631271E1,3.430744171E0,3.544576111E2,6.959834894E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.191515311E2,6.505790525E1,2.560339679E1,3.042091098E1,4.790969556E1,3.420268536E0,3.568504639E2,6.997625149E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.201614136E2,6.505793911E1,2.560338963E1,3.111494197E1,4.860373519E1,3.430437326E0,3.535154724E2,7.037327050E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.211441748E2,6.505797465E1,2.560338151E1,3.105314126E1,4.854194349E1,3.408639193E0,3.545284119E2,7.067896591E-1,4.000000000E0,3.000000000E0,3.900000000E1
1.221661200E2,6.505800039E1,2.560335867E1,3.022520496E1,4.771401238E1,3.383324623E0,3.524609070E2,7.100278676E-1,4.000000000E0,3.000000000E0,3.900000000E1
1.231443555E2,6.505802949E1,2.560336183E1,3.073503174E1,4.822384732E1,3.370478868E0,3.596886292E2,7.128592368E-1,4.000000000E0,3.000000000E0,3.900000000E1
1.241493113E2,6.505805463E1,2.560335230E1,3.063241987E1,4.812124153E1,3.350671053E0,3.545111084E2,7.158577452E-1,3.000000000E0,3.000000000E0,3.700000000E1
1.251665530E2,6.505808148E1,2.560334635E1,3.067027301E1,4.815910151E1,3.318512678E0,3.538367615E2,7.187267418E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.261550468E2,6.505810703E1,2.560333783E1,3.087144721E1,4.836028198E1,3.291591167E0,3.510930481E2,7.218952590E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.271513957E2,6.505813545E1,2.560334264E1,3.098248419E1,4.847132708E1,3.262959719E0,3.519309387E2,7.248652568E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.281614705E2,6.505816206E1,2.560333720E1,3.091671099E1,4.840556068E1,3.236061335E0,3.555149231E2,7.279141042E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.291450027E2,6.505818944E1,2.560333342E1,3.070550917E1,4.819436601E1,3.220181227E0,3.541202698E2,7.322286929E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.301593563E2,6.505822790E1,2.560334557E1,3.083773568E1,4.832660396E1,3.242132187E0,3.565551453E2,7.358561998E-1,4.000000000E0,3.000000000E0,3.900000000E1
1.311481438E2,6.505826052E1,2.560334495E1,3.083318177E1,4.832205888E1,3.265899658E0,3.585734558E2,7.390541676E-1,3.000000000E0,3.000000000E0,3.800000000E1
1.321838469E2,6.505828926E1,2.560334726E1,3.102000216E1,4.850888728E1,3.281084061E0,3.597712708E2,7.426997024E-1,3.000000000E0,3.000000000E0,3.600000000E1
1.331693107E2,6.505832205E1,2.560334615E1,3.107747431E1,4.856636826E1,3.312372923E0,3.586875610E2,7.463626243E-1,3.000000000E0,3.000000000E0,3.800000000E1
1.341685334E2,6.505835459E1,2.560335828E1,3.053071937E1,4.801962314E1,3.347654343E0,3.587164917E2,7.498740517E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.351418704E2,6.505838612E1,2.560335430E1,3.060509286E1,4.809400489E1,3.362798214E0,3.595739746E2,7.529940391E-1,3.000000000E0,3.000000000E0,3.900000000E1
1.361636422E2,6.505841415E1,2.560335125E1,3.066979025E1,4.815870968E1,3.366959095E0,3.599280090E2,7.563791508E-1,3.000000000E0,3.000000000E0,3.800000000E1
