"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.592881590E0,-4.787999725E1,-4.079999924E1,-2.193600006E2,2.282015424E2
1.600816160E0,-4.841999817E1,-4.097999954E1,-2.193600006E2,2.283476876E2
1.608720213E0,-4.823999786E1,-4.073999786E1,-2.194199982E2,2.283242878E2
1.616654783E0,-4.836000061E1,-3.995999908E1,-2.195399933E2,2.283271772E2
1.624650389E0,-4.805999756E1,-3.995999908E1,-2.191799927E2,2.279176037E2
1.632523924E0,-4.805999756E1,-3.977999878E1,-2.192399902E2,2.279438198E2
1.640458494E0,-4.836000061E1,-3.977999878E1,-2.194799957E2,2.282380479E2
1.648393064E0,-4.829999924E1,-4.013999939E1,-2.193600006E2,2.281730031E2
1.656327635E0,-4.829999924E1,-4.025999832E1,-2.198999939E2,2.287132806E2
1.664323240E0,-4.800000000E1,-4.020000076E1,-2.198399963E2,2.285818542E2
1.672196775E0,-4.787999725E1,-4.020000076E1,-2.195999908E2,2.283258421E2
1.680131346E0,-4.757999802E1,-3.989999771E1,-2.200800018E2,2.286724147E2
1.688065916E0,-4.800000000E1,-4.002000046E1,-2.198999939E2,2.286079783E2
1.696031004E0,-4.805999756E1,-3.995999908E1,-2.197799988E2,2.284946668E2
1.703996092E0,-4.793999863E1,-3.977999878E1,-2.197799988E2,2.284380433E2
1.711900145E0,-4.811999893E1,-3.995999908E1,-2.192999878E2,2.280456544E2
1.719834715E0,-4.805999756E1,-3.936000061E1,-2.189400024E2,2.275822877E2
1.727769285E0,-4.787999725E1,-3.977999878E1,-2.190599976E2,2.277327929E2
1.735734373E0,-4.793999863E1,-3.995999908E1,-2.189400024E2,2.276615243E2
1.743699461E0,-4.763999939E1,-3.977999878E1,-2.189400024E2,2.275670066E2
1.751603514E0,-4.745999908E1,-4.002000046E1,-2.193600006E2,2.279755729E2
1.759538084E0,-4.739999771E1,-3.965999985E1,-2.191799927E2,2.277269079E2
1.767472654E0,-4.734000015E1,-3.959999847E1,-2.192999878E2,2.278194903E2
1.775407225E0,-4.734000015E1,-3.959999847E1,-2.196599884E2,2.281660492E2
1.783402830E0,-4.721999741E1,-3.959999847E1,-2.198399963E2,2.283145024E2
1.791276365E0,-4.775999832E1,-3.918000031E1,-2.195999908E2,2.281233128E2
1.799180418E0,-4.775999832E1,-3.887999725E1,-2.195999908E2,2.280719790E2
1.807114988E0,-4.818000031E1,-3.905999756E1,-2.192999878E2,2.279023486E2
1.815049559E0,-4.818000031E1,-3.870000076E1,-2.191799927E2,2.277254305E2
1.823014646E0,-4.781999969E1,-3.900000000E1,-2.191199951E2,2.276429762E2
1.830918699E0,-4.775999832E1,-3.923999786E1,-2.194199982E2,2.279603704E2
1.838853270E0,-4.763999939E1,-3.887999725E1,-2.195999908E2,2.280468805E2
1.846757322E0,-4.818000031E1,-3.929999924E1,-2.197799988E2,2.284054514E2
1.854691893E0,-4.805999756E1,-3.923999786E1,-2.200199890E2,2.286008232E2
1.862687498E0,-4.805999756E1,-3.929999924E1,-2.200800018E2,2.286688884E2
1.870591551E0,-4.853999710E1,-3.965999985E1,-2.196599884E2,2.284284514E2
1.878526121E0,-4.836000061E1,-3.954000092E1,-2.191799927E2,2.279078115E2
1.886491209E0,-4.853999710E1,-3.929999924E1,-2.191199951E2,2.278468642E2
1.894456297E0,-4.853999710E1,-3.959999847E1,-2.188199921E2,2.276103691E2
1.902390867E0,-4.823999786E1,-3.954000092E1,-2.188799896E2,2.275938464E2
1.910264402E0,-4.805999756E1,-3.947999954E1,-2.192399902E2,2.278916564E2
1.918198973E0,-4.793999863E1,-3.959999847E1,-2.197200012E2,2.283490361E2
1.926103025E0,-4.847999954E1,-3.929999924E1,-2.195399933E2,2.282380532E2
1.934068113E0,-4.884000015E1,-3.893999863E1,-2.197799988E2,2.284839534E2
1.942033201E0,-4.871999741E1,-3.893999863E1,-2.197200012E2,2.284006142E2
1.949937254E0,-4.895999908E1,-3.905999756E1,-2.191799927E2,2.279531402E2
1.957871824E0,-4.853999710E1,-3.887999725E1,-2.198399963E2,2.284675239E2
1.965806395E0,-4.775999832E1,-3.918000031E1,-2.198399963E2,2.283543603E2
1.973740965E0,-4.793999863E1,-3.941999817E1,-2.197200012E2,2.283178895E2
1.981736570E0,-4.752000046E1,-3.959999847E1,-2.197200012E2,2.282612303E2
1.989610105E0,-4.757999802E1,-3.929999924E1,-2.194799957E2,2.279908215E2
1.997544676E0,-4.800000000E1,-3.954000092E1,-2.193600006E2,2.280048717E2
