"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.212654595E0,8.995102048E-1,-1.030160904E0,9.232394099E-1,1.650067000E0
1.220528130E0,9.241447449E-1,-8.957300186E-1,5.396497846E-1,1.395563566E0
1.228493218E0,7.998487949E-1,-8.019781113E-1,1.272430420E-1,1.139788479E0
1.236397271E0,6.317885518E-1,-6.817455292E-1,-9.793174267E-2,9.346252548E-1
1.244392876E0,4.302345514E-1,-5.805082321E-1,-1.473535895E-1,7.374311203E-1
1.252296929E0,2.997321784E-1,-5.079069138E-1,-8.902847767E-3,5.898203731E-1
1.260170464E0,4.082078934E-1,-3.706722260E-1,1.371281147E-1,5.681863278E-1
1.268166070E0,6.839965582E-1,-2.742500305E-1,6.728744507E-2,7.399945751E-1
1.276070123E0,8.626245260E-1,-1.678838730E-1,-1.771460772E-1,8.964858060E-1
1.284065728E0,1.034300685E0,-4.069232941E-2,-3.405969739E-1,1.089697238E0
1.291908746E0,1.076697350E0,4.547214508E-2,-3.587619960E-1,1.135805911E0
1.299904351E0,1.053751230E0,1.486158371E-1,-2.391462028E-1,1.090719592E0
1.307838921E0,1.086761117E0,2.707691193E-1,1.713460088E-1,1.133015929E0
1.315712457E0,1.088010311E0,4.385290146E-1,6.484758854E-1,1.340371257E0
1.323677544E0,9.565851688E-1,5.775785446E-1,1.120426059E0,1.582405357E0
1.331581597E0,4.281744063E-1,7.572927475E-1,1.905174375E0,2.094400875E0
1.339455132E0,-1.445344090E-1,1.035083771E0,2.281056881E0,2.509085312E0
1.347389703E0,-7.837167978E-1,1.190402031E0,2.293855667E0,2.700563429E0
1.355293755E0,-1.116516471E0,1.350253105E0,1.919954896E0,2.599234364E0
1.363319878E0,-1.411679268E0,1.505150795E0,1.264463544E0,2.420162252E0
1.371254449E0,-1.426216602E0,1.650342941E0,5.729383826E-1,2.255212631E0
1.379127984E0,-1.230444908E0,1.721437454E0,1.552859247E-1,2.121663333E0
1.387123589E0,-1.003494501E0,1.756829262E0,2.048331499E-2,2.023331371E0
1.395027642E0,-8.092713952E-1,1.780542374E0,1.245434880E-1,1.959786319E0
1.403023248E0,-3.740969300E-1,1.814002037E0,-1.509947926E-1,1.858319491E0
1.410866265E0,6.284809113E-2,1.770972252E0,-4.710893631E-1,1.833635129E0
1.418770318E0,2.571781278E-1,1.840704918E0,-6.472991705E-1,1.968078098E0
1.426735406E0,4.255526662E-1,1.929898262E0,-5.368989110E-1,2.047892286E0
1.434639458E0,5.724744797E-1,1.906952858E0,-3.136167526E-1,2.015577262E0
1.442574029E0,2.197070420E-1,1.798159599E0,3.177603185E-1,1.839190243E0
1.450478082E0,-3.662050366E-1,1.711326599E0,1.295624137E0,2.177472563E0
1.458351617E0,-7.992474437E-1,1.440397263E0,2.066535473E0,2.642746604E0
1.466286187E0,-1.215930700E0,1.238987923E0,2.501765251E0,3.045062875E0
1.474129205E0,-1.647519827E0,1.039985657E0,2.777480125E0,3.392681475E0
1.482155328E0,-2.016086340E0,7.761917114E-1,2.895224094E0,3.612395363E0
1.490028863E0,-2.288405418E0,5.337810516E-1,2.883177042E0,3.719466551E0
1.497932915E0,-2.546380043E0,2.695808411E-1,2.887630701E0,3.859421747E0
1.505867486E0,-2.636233807E0,7.199287415E-2,2.873173237E0,3.900004629E0
1.513741021E0,-2.655403614E0,-1.547002792E-1,2.726971149E0,3.809392626E0
1.521767144E0,-2.593530416E0,-2.909812927E-1,2.481247425E0,3.601063582E0
1.529610162E0,-2.523466110E0,-4.611911774E-1,2.182836294E0,3.368286330E0
1.537605767E0,-2.442060471E0,-5.670604706E-1,1.739929557E0,3.051650665E0
1.545540337E0,-2.422757149E0,-6.802005768E-1,1.446816683E0,2.902706244E0
1.553413873E0,-2.336698532E0,-8.099851608E-1,1.376851797E0,2.830540030E0
1.561378960E0,-2.234022617E0,-9.994325638E-1,1.627231836E0,2.938980428E0
1.569283013E0,-2.002515793E0,-1.116906166E0,1.920790434E0,2.991151079E0
1.577156548E0,-1.790860891E0,-1.217493057E0,2.013804197E0,2.957174229E0
1.585121636E0,-1.502354026E0,-1.284463882E0,1.807066441E0,2.678134464E0
1.593025689E0,-1.389006615E0,-1.317861557E0,1.412954807E0,2.379609158E0
1.601021294E0,-9.565095901E-1,-1.211936951E0,4.050461054E-1,1.596171706E0
1.608925347E0,-7.322968245E-1,-1.076474190E0,-3.330438137E-1,1.343865135E0
1.616768365E0,-5.553535223E-1,-1.003440857E0,-1.073983669E0,1.571226276E0
1.624763970E0,-5.761985779E-1,-1.091339111E0,-1.512251019E0,1.951903943E0
1.632668023E0,-4.592318535E-1,-1.147806168E0,-1.610042334E0,2.029923449E0
1.640633111E0,-4.737558365E-1,-1.289455414E0,-1.514104366E0,2.044419695E0
1.648567681E0,-4.213738441E-1,-1.375659943E0,-1.090864062E0,1.805541635E0
1.656471734E0,-3.702900410E-1,-1.466435432E0,-5.491441488E-1,1.609070194E0
1.664406304E0,-3.337063789E-1,-1.507081032E0,-8.619666100E-2,1.545989343E0
1.672310357E0,-9.154725075E-2,-1.574606419E0,3.815923929E-1,1.622768938E0
1.680305962E0,2.120815516E-1,-1.590495110E0,5.909924507E-1,1.709948933E0
1.688210015E0,3.566838503E-1,-1.621421337E0,5.449395180E-1,1.747337861E0
1.696083550E0,3.939149380E-1,-1.645621777E0,5.527139902E-1,1.780093471E0
1.704018121E0,3.907560110E-1,-1.677263260E0,5.986808538E-1,1.823272077E0
1.711861138E0,3.372350931E-1,-1.651820660E0,5.178992748E-1,1.763649245E0
1.719887261E0,2.807815075E-1,-1.670245171E0,2.740101814E-1,1.715703577E0
1.727760796E0,2.898974419E-1,-1.658286095E0,-1.102200747E-1,1.687039349E0
1.735695367E0,3.284116983E-1,-1.589343071E0,-6.054115891E-1,1.732163050E0
1.743629937E0,5.458661318E-1,-1.587903976E0,-1.074136257E0,1.993283114E0
1.751503472E0,6.410300732E-1,-1.560107708E0,-1.365611315E0,2.170195816E0
1.759529595E0,6.197067499E-1,-1.503146172E0,-1.430966616E0,2.165906352E0
1.767403130E0,6.065182686E-1,-1.507663727E0,-1.236333251E0,2.041919252E0
1.775276665E0,6.284577847E-1,-1.542731285E0,-9.831885099E-1,1.934331577E0
1.783272271E0,6.663257480E-1,-1.491180420E0,-5.173460245E-1,1.713258870E0
1.791176324E0,7.581099868E-1,-1.391559601E0,9.303009510E-2,1.587395185E0
1.799171929E0,7.932569981E-1,-1.272673607E0,6.494441032E-1,1.634237565E0
1.807045464E0,8.296461105E-1,-1.151837349E0,8.541978598E-1,1.656712386E0
1.814918999E0,7.322162986E-1,-9.690895081E-1,7.677778006E-1,1.436926558E0
1.822853570E0,4.551759958E-1,-7.652683258E-1,5.128540993E-1,1.027540814E0
1.830727105E0,3.382462263E-1,-5.572891235E-1,1.932122707E-1,6.799357752E-1
1.838722710E0,3.653974533E-1,-2.994260788E-1,-3.952548504E-1,6.159526543E-1
1.846687798E0,5.071691871E-1,-1.309394836E-2,-1.012124896E0,1.132161137E0
1.854530816E0,6.138660312E-1,2.857265472E-1,-1.257137537E0,1.427888634E0
1.862495904E0,6.942831874E-1,5.994625092E-1,-1.308605313E0,1.598071435E0
1.870399957E0,5.663623214E-1,9.471607208E-1,-1.316828847E0,1.718114642E0
1.878426080E0,5.727773905E-1,1.278594971E0,-1.392187357E0,1.975111307E0
1.886330132E0,4.155649543E-1,1.564695358E0,-1.454213619E0,2.176167054E0
1.894173150E0,3.690981269E-1,1.751040459E0,-1.377318740E0,2.258181354E0
1.902138238E0,3.681193590E-1,1.950096130E0,-1.166621923E0,2.302041158E0
1.910042290E0,3.074082732E-1,2.049382210E0,-6.213845015E-1,2.163466197E0
1.918007378E0,3.333411217E-1,2.173521996E0,1.115957499E-1,2.201764697E0
1.925941949E0,3.023953438E-1,2.156796455E0,8.976285458E-1,2.355621128E0
1.933846001E0,1.836944818E-1,2.178222656E0,1.602369308E0,2.710347764E0
1.941780572E0,1.284729838E-1,2.258757591E0,1.929051638E0,2.973168577E0
1.949684624E0,7.081425190E-2,2.316781044E0,1.634228468E0,2.836052142E0
1.957741265E0,3.716683388E-2,2.352305412E0,6.703367233E-1,2.446236589E0
1.965614800E0,4.493865371E-1,2.535380363E0,-4.925279021E-1,2.621580741E0
1.973488335E0,8.795783520E-1,2.562883377E0,-1.566789150E0,3.129993215E0
1.981422906E0,1.404942274E0,2.751636505E0,-2.163807869E0,3.771926662E0
1.989296441E0,2.019094706E0,3.063572884E0,-2.323786736E0,4.343064245E0
1.997322564E0,2.281274796E0,3.190106392E0,-2.028697252E0,4.415496125E0
2.005196099E0,2.335321665E0,3.225048065E0,-1.462801099E0,4.241986487E0
2.013100152E0,2.314244509E0,3.184470177E0,-7.095098495E-1,3.999997772E0
2.021065240E0,2.010036707E0,2.878973961E0,7.328009605E-2,3.511994961E0
2.028938775E0,1.524860620E0,2.571956635E0,8.552646637E-1,3.109925801E0
2.036995415E0,1.126813531E0,2.188674927E0,1.375903249E0,2.820127022E0
2.044899468E0,6.591302752E-1,1.604415894E0,1.808626175E0,2.505939289E0
2.052773003E0,2.970902622E-1,1.096563339E0,2.198054552E0,2.474299415E0
